AÑO ,TRIMESTRE,DEPARTAMENTO,CIUDAD,UNIONES MARITALES DE HECHO
Año 2016,II Trim,San Andres Y Providencia,Demás Municipios,0
Año 2016,II Trim,Santander,Bucaramanga,68
Año 2016,II Trim,Santander,Demás Municipios,44
Año 2016,II Trim,Sucre,Sincelejo,6
Año 2016,II Trim,Sucre,Demás Municipios,4
Año 2016,II Trim,Tolima,Ibague,31
Año 2016,II Trim,Tolima,Demás Municipios,69
Año 2016,II Trim,Valle,Cali,194
Año 2016,II Trim,Valle,Demás Municipios,127
Año 2016,II Trim,Vaupes,Mitu,1
Año 2016,II Trim,Vichada,Puerto Carreño,0
Año 2016,II Trim,Vichada,Demás Municipios,0
Año 2016,III Trim,Amazonas,Leticia,0
Año 2016,III Trim,Antioquia,Medellin,73
Año 2016,III Trim,Antioquia,Demás Municipios,153
Año 2016,III Trim,Arauca,Arauca,3
Año 2016,III Trim,Arauca,Demás Municipios,2
Año 2016,III Trim,Atlantico,Barranquilla,44
Año 2016,III Trim,Atlantico,Demás Municipios,15
Año 2016,III Trim,Bolivar,Cartagena,25
Año 2016,III Trim,Bolivar,Demás Municipios,12
Año 2016,III Trim,Boyaca,Tunja,24
Año 2016,III Trim,Boyaca,Demás Municipios,54
Año 2016,III Trim,Caldas,Manizales,24
Año 2016,III Trim,Caldas,Demás Municipios,27
Año 2016,III Trim,Caqueta,Florencia,73
Año 2016,III Trim,Caqueta,Demás Municipios,4
Año 2016,III Trim,Casanare,Yopal,7
Año 2016,III Trim,Casanare,Demás Municipios,6
Año 2016,III Trim,Cauca,Popayan,56
Año 2016,III Trim,Cauca,Demás Municipios,44
Año 2016,III Trim,Cesar,Valledupar,27
Año 2016,III Trim,Cesar,Demás Municipios,18
Año 2016,III Trim,Choco,Quibdo,10
Año 2016,III Trim,Choco,Demás Municipios,1
Año 2016,III Trim,Cordoba,Monteria,16
Año 2016,III Trim,Cordoba,Demás Municipios,35
Año 2016,III Trim,Cundinamarca,Bogota,579
Año 2016,III Trim,Cundinamarca,Demás Municipios,150
Año 2016,III Trim,Guainia,Inirida,0
Año 2016,III Trim,Guajira,Riohacha,9
Año 2016,III Trim,Guajira,Demás Municipios,7
Año 2016,III Trim,Guaviare,San Jose Del Guaviare,3
Año 2016,III Trim,Huila,Neiva,48
Año 2016,III Trim,Huila,Demás Municipios,46
Año 2016,III Trim,Magdalena,Santa Marta,9
Año 2016,III Trim,Magdalena,Demás Municipios,7
Año 2016,III Trim,Meta,Villavicencio,32
Año 2016,III Trim,Meta,Demás Municipios,16
Año 2016,III Trim,Nariño,Pasto,37
Año 2016,III Trim,Nariño,Demás Municipios,24
Año 2016,III Trim,Norte De Santander,Cucuta,47
Año 2016,III Trim,Norte De Santander,Demás Municipios,18
Año 2016,III Trim,Putumayo,Mocoa,7
Año 2016,III Trim,Putumayo,Demás Municipios,18
Año 2016,III Trim,Quindio,Armenia,24
Año 2016,III Trim,Quindio,Demás Municipios,11
Año 2016,III Trim,Risaralda,Pereira,43
Año 2016,III Trim,Risaralda,Demás Municipios,18
Año 2016,III Trim,San Andres Y Providencia,San Andres Isla,24
Año 2016,III Trim,San Andres Y Providencia,Demás Municipios,0
Año 2016,III Trim,Santander,Bucaramanga,60
Año 2016,III Trim,Santander,Demás Municipios,47
Año 2016,III Trim,Sucre,Sincelejo,10
Año 2016,III Trim,Sucre,Demás Municipios,5
Año 2016,III Trim,Tolima,Ibague,47
Año 2016,III Trim,Tolima,Demás Municipios,70
Año 2016,III Trim,Valle,Cali,217
Año 2016,III Trim,Valle,Demás Municipios,152
Año 2016,III Trim,Vaupes,Mitu,0
Año 2016,III Trim,Vichada,Puerto Carreño,0
Año 2016,III Trim,Vichada,Demás Municipios,0
Año 2016,IV Trim,Amazonas,Leticia,1
Año 2016,IV Trim,Antioquia,Medellin,63
Año 2016,IV Trim,Antioquia,Demás Municipios,118
Año 2016,IV Trim,Arauca,Arauca,4
Año 2016,IV Trim,Arauca,Demás Municipios,5
Año 2016,IV Trim,Atlantico,Barranquilla,21
Año 2016,IV Trim,Atlantico,Demás Municipios,27
Año 2016,IV Trim,Bolivar,Cartagena,38
Año 2016,IV Trim,Bolivar,Demás Municipios,14
Año 2016,IV Trim,Boyaca,Tunja,13
Año 2016,IV Trim,Boyaca,Demás Municipios,50
Año 2016,IV Trim,Caldas,Manizales,30
Año 2016,IV Trim,Caldas,Demás Municipios,12
Año 2016,IV Trim,Caqueta,Florencia,54
Año 2016,IV Trim,Caqueta,Demás Municipios,15
Año 2016,IV Trim,Casanare,Yopal,5
Año 2016,IV Trim,Casanare,Demás Municipios,7
Año 2016,IV Trim,Cauca,Popayan,34
Año 2016,IV Trim,Cauca,Demás Municipios,26
Año 2016,IV Trim,Cesar,Valledupar,20
Año 2016,IV Trim,Cesar,Demás Municipios,17
Año 2016,IV Trim,Choco,Quibdo,3
Año 2016,IV Trim,Choco,Demás Municipios,4
Año 2016,IV Trim,Cordoba,Monteria,10
Año 2016,IV Trim,Cordoba,Demás Municipios,31
Año 2016,IV Trim,Cundinamarca,Bogota,449
Año 2016,IV Trim,Cundinamarca,Demás Municipios,119
Año 2016,IV Trim,Guainia,Inirida,0
Año 2016,IV Trim,Guajira,Riohacha,7
Año 2016,IV Trim,Guajira,Demás Municipios,6
Año 2016,IV Trim,Guaviare,San Jose Del Guaviare,5
Año 2016,IV Trim,Huila,Neiva,26
Año 2016,IV Trim,Huila,Demás Municipios,24
Año 2016,IV Trim,Magdalena,Santa Marta,9
Año 2016,IV Trim,Magdalena,Demás Municipios,1
Año 2016,IV Trim,Meta,Villavicencio,32
Año 2016,IV Trim,Meta,Demás Municipios,11
Año 2016,IV Trim,Nariño,Pasto,24
Año 2016,IV Trim,Nariño,Demás Municipios,13
Año 2016,IV Trim,Norte De Santander,Cucuta,61
Año 2016,IV Trim,Norte De Santander,Demás Municipios,12
Año 2016,IV Trim,Putumayo,Mocoa,3
Año 2016,IV Trim,Putumayo,Demás Municipios,12
Año 2016,IV Trim,Quindio,Armenia,14
Año 2016,IV Trim,Quindio,Demás Municipios,5
Año 2016,IV Trim,Risaralda,Pereira,27
Año 2016,IV Trim,Risaralda,Demás Municipios,9
Año 2016,IV Trim,San Andres Y Providencia,San Andres Isla,13
Año 2016,IV Trim,San Andres Y Providencia,Demás Municipios,1
Año 2016,IV Trim,Santander,Bucaramanga,62
Año 2016,IV Trim,Santander,Demás Municipios,40
Año 2016,IV Trim,Sucre,Sincelejo,7
Año 2016,IV Trim,Sucre,Demás Municipios,7
